+----------------------------------------------------------+
| QUEUE Pracovníci                                        |
+----------------------------------------------------------+
|  Time interval = 0 - 525600                              |
|  Incoming  52550                                         |
|  Outcoming  52550                                        |
|  Current length = 0                                      |
|  Maximal length = 2                                      |
|  Average length = 0.534928                               |
|  Minimal time = 0                                        |
|  Maximal time = 193.627                                  |
|  Average time = 5.3503                                   |
|  Standard deviation = 25.9641                            |
+----------------------------------------------------------+
+----------------------------------------------------------+
| HISTOGRAM Počet zasazených semínek v jednotlivých dnech |
+----------------------------------------------------------+
| STATISTIC                                                |
+----------------------------------------------------------+
|  Min = 10.246                  Max = 334180              |
|  Number of records = 99990                               |
|  Average value = 184772                                  |
|  Standard deviation = 97200.3                            |
+----------------------------------------------------------+
|    from    |     to     |     n    |   rel    |   sum    |
| 159840.000 | 161280.000 |      900 | 0.009001 | 0.402940 |
| 161280.000 | 162720.000 |      900 | 0.009001 | 0.411941 |
| 162720.000 | 164160.000 |        0 | 0.000000 | 0.411941 |
| 164160.000 | 165600.000 |        0 | 0.000000 | 0.411941 |
| 165600.000 | 167040.000 |        0 | 0.000000 | 0.411941 |
| 167040.000 | 168480.000 |        0 | 0.000000 | 0.411941 |
| 168480.000 | 169920.000 |        0 | 0.000000 | 0.411941 |
| 169920.000 | 171360.000 |        0 | 0.000000 | 0.411941 |
| 171360.000 | 172800.000 |        0 | 0.000000 | 0.411941 |
| 172800.000 | 174240.000 |        0 | 0.000000 | 0.411941 |
| 174240.000 | 175680.000 |      900 | 0.009001 | 0.420942 |
| 175680.000 | 177120.000 |     1410 | 0.014101 | 0.435044 |
| 177120.000 | 178560.000 |     1440 | 0.014401 | 0.449445 |
| 178560.000 | 180000.000 |        0 | 0.000000 | 0.449445 |
| 180000.000 | 181440.000 |        0 | 0.000000 | 0.449445 |
| 181440.000 | 182880.000 |        0 | 0.000000 | 0.449445 |
| 182880.000 | 184320.000 |      600 | 0.006001 | 0.455446 |
| 184320.000 | 185760.000 |     1260 | 0.012601 | 0.468047 |
| 185760.000 | 187200.000 |     1440 | 0.014401 | 0.482448 |
| 187200.000 | 188640.000 |      450 | 0.004500 | 0.486949 |
| 188640.000 | 190080.000 |        0 | 0.000000 | 0.486949 |
| 190080.000 | 191520.000 |        0 | 0.000000 | 0.486949 |
| 191520.000 | 192960.000 |      390 | 0.003900 | 0.490849 |
| 192960.000 | 194400.000 |      600 | 0.006001 | 0.496850 |
| 194400.000 | 195840.000 |     1590 | 0.015902 | 0.512751 |
| 195840.000 | 197280.000 |      870 | 0.008701 | 0.521452 |
| 197280.000 | 198720.000 |      300 | 0.003000 | 0.524452 |
| 198720.000 | 200160.000 |        0 | 0.000000 | 0.524452 |
